"─","━","━"
"─","┈","─"
"─","┉","━"
"─","╌","─"
"─","╍","╍"
"─","┄","─"
"─","┅","━"
"─","═","━"
"─","╴","─"
"─","-","─"
"─","╶","─"
"─","╸","╾"
"─","╺","╼"
"─","▃","▅"
"─","▄","▅"
"─","▅","▅"
"─","▆","▆"
"─","▇","▇"
"─","╼","╼"
"─","╾","╾"
"─","│","┼"
"─","┃","╂"
"─","┊","┼"
"─","┋","╂"
"─","╎","┼"
"─","╏","╂"
"─","┆","┼"
"─","┇","╂"
"─","║","╫"
"─","╵","┴"
"─","╷","┬"
"─","╹","┸"
"─","╻","┰"
"─","╽","╁"
"─","╿","╀"
"─","┌","┬"
"─","┐","┬"
"─","└","┴"
"─","┘","┴"
"─","┏","┲"
"─","┓","┱"
"─","┗","┺"
"─","┛","┹"
"─","┍","┮"
"─","┑","┭"
"─","┕","┶"
"─","┙","┵"
"─","┎","┰"
"─","┒","┰"
"─","┖","┸"
"─","┚","┸"
"─","╔","┲"
"─","╗","┱"
"─","╚","┺"
"─","╝","┹"
"─","╒","┮"
"─","╕","┭"
"─","╘","┶"
"─","╛","┵"
"─","╓","╥"
"─","╖","╥"
"─","╙","╨"
"─","╜","╨"
"─","╭","┬"
"─","╮","┬"
"─","┴","┴"
"─","┬","┬"
"─","┻","┻"
"─","┳","┳"
"─","╩","┻"
"─","╦","┳"
"─","┸","┸"
"─","┰","┰"
"─","┷","┷"
"─","┯","┯"
"─","╨","╨"
"─","╥","╥"
"─","╧","┷"
"─","╤","┯"
"─","┵","┵"
"─","┶","┶"
"─","┭","┭"
"─","┮","┮"
"─","┺","┺"
"─","┹","┹"
"─","┲","┲"
"─","┱","┱"
"─","├","┼"
"─","┤","┼"
"─","┣","╊"
"─","┫","╉"
"─","╠","╊"
"─","╣","╉"
"─","┝","┾"
"─","┥","┽"
"─","┠","╂"
"─","┨","╂"
"─","╟","╫"
"─","╢","╫"
"─","╞","┾"
"─","╡","┽"
"─","┟","╁"
"─","┧","╁"
"─","┞","╀"
"─","┦","╀"
"─","┢","╆"
"─","┪","╅"
"─","┡","╄"
"─","┩","╃"
"─","┼","┼"
"─","╋","╋"
"─","╬","╋"
"─","┿","┿"
"─","╂","╂"
"─","╪","┿"
"─","╫","╫"
"─","╀","╀"
"─","┾","┾"
"─","╁","╁"
"─","┽","┽"
"─","╈","╈"
"─","╉","╉"
"─","╇","╇"
"─","╊","╊"
"─","╄","╄"
"─","╃","╃"
"─","╆","╆"
"─","╅","╅"
"━","┈","━"
"━","┉","━"
"━","╌","━"
"━","╍","━"
"━","┄","━"
"━","┅","━"
"━","═","━"
"━","╴","━"
"━","-","━"
"━","╶","━"
"━","╸","━"
"━","╺","━"
"━","▂","▆"
"━","▃","▆"
"━","▄","▆"
"━","▅","▆"
"━","▆","▆"
"━","▇","▇"
"━","╼","━"
"━","╾","━"
"━","│","┿"
"━","┃","╋"
"━","┊","┿"
"━","┋","╋"
"━","╎","┿"
"━","╏","╋"
"━","┆","┿"
"━","┇","╋"
"━","║","╋"
"━","╵","┷"
"━","╷","┯"
"━","╹","┻"
"━","╻","┳"
"━","╽","╈"
"━","╿","╇"
"━","┌","┯"
