"┝","┾","┿","┝","┣","┾","┿","┝","┣","┾","┿","┝","┣","┝","┝","┢","┢","┾","┿","╆","╈","┝","┝","┡","┡","┾","┿","╄","╇","┝","┝","┡","┢","┣","┡","┢","┣","┾","┿","╄","╆","╊","╇","╈","╋","┾","┿","┾","┿","╆","╈","╆","╈","┾","┿","┾","┿","╄","╇","╄","╇","┾","┿","┾","┿","╄","╆","╊","╇","╄","╈","╆","╇","╈","╋","╊","╋","┾","┿","┝","┣","┿","┣","┝","┢","┢","┿","╆","╈","┝","┡","┡","┿","╄","╇","┝","┣","┣","┿","╊","╋","┿","╆","╈","┿","╄","╇","┿","╊","╋","┾","┝","┝","┝","┿","┡","┝","┢","┾","┢","┿","┡"
"┞","╀","╇","┞","┠","╀","╇","┞","┠","╀","╇","┞","┠","┞","┡","┠","┣","╀","╃","╂","╉","┞","┡","┞","┡","╀","╃","╀","╃","┞","┡","┞","┠","┠","┡","┣","┣","╀","╃","╀","╂","╂","╃","╉","╉","╀","╃","╄","╇","╂","╉","╊","╋","╀","╃","╄","╇","╀","╃","╄","╇","╀","╃","╄","╇","╀","╂","╂","╃","╄","╉","╊","╇","╋","╉","╊","╋","╀","╇","┞","┠","╇","┠","┡","┠","┣","╃","╂","╉","┡","┞","┡","╃","╀","╃","┡","┠","┣","╃","╂","╉","╇","╂","╋","╇","╀","╇","╇","╂","╋","╀","┞","┞","┞","╃","┞","┡","┠","╄","┠","╃","┞"
"┟","╁","╈","┟","┠","╁","╈","┟","┠","╁","╈","┟","┠","┟","┢","┟","┢","╁","╅","╁","╅","┟","┢","┠","┣","╁","╅","╂","╉","┟","┢","┠","┟","┠","┣","┢","┣","╁","╅","╂","╁","╂","╉","╅","╉","╁","╅","╆","╈","╁","╅","╆","╈","╁","╅","╆","╈","╂","╉","╊","╋","╁","╅","╆","╈","╂","╁","╂","╉","╊","╅","╆","╋","╈","╉","╊","╋","╁","╈","┟","┠","╈","┠","┢","┟","┢","╅","╁","╅","┢","┠","┣","╅","╂","╉","┢","┠","┣","╅","╂","╉","╈","╁","╈","╈","╂","╋","╈","╂","╋","╁","┟","┟","┟","╅","┠","┢","┟","╆","┟","╅","┠"
"┠","╂","╋","┠","┠","╂","╋","┠","┠","╂","╋","┠","┠","┠","┣","┠","┣","╂","╉","╂","╉","┠","┣","┠","┣","╂","╉","╂","╉","┠","┣","┠","┠","┠","┣","┣","┣","╂","╉","╂","╂","╂","╉","╉","╉","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╂","╂","╉","╊","╉","╊","╋","╋","╉","╊","╋","╂","╋","┠","┠","╋","┠","┣","┠","┣","╉","╂","╉","┣","┠","┣","╉","╂","╉","┣","┠","┣","╉","╂","╉","╋","╂","╋","╋","╂","╋","╋","╂","╋","╂","┠","┠","┠","╉","┠","┣","┠","╊","┠","╉","┠"
"┡","╄","╇","┡","┣","╄","╇","┡","┣","╄","╇","┡","┣","┡","┡","┣","┣","╄","╇","╊","╋","┡","┡","┡","┡","╄","╇","╄","╇","┡","┡","┡","┣","┣","┡","┣","┣","╄","╇","╄","╊","╊","╇","╋","╋","╄","╇","╄","╇","╊","╋","╊","╋","╄","╇","╄","╇","╄","╇","╄","╇","╄","╇","╄","╇","╄","╊","╊","╇","╄","╋","╊","╇","╋","╋","╊","╋","╄","╇","┡","┣","╇","┣","┡","┣","┣","╇","╊","╋","┡","┡","┡","╇","╄","╇","┡","┣","┣","╇","╊","╋","╇","╊","╋","╇","╄","╇","╇","╊","╋","╄","┡","┡","┡","╇","┡","┡","┣","╄","┣","╇","┡"
"┢","╆","╈","┢","┣","╆","╈","┢","┣","╆","╈","┢","┣","┢","┢","┢","┢","╆","╈","╆","╈","┢","┢","┣","┣","╆","╈","╊","╋","┢","┢","┣","┢","┣","┣","┢","┣","╆","╈","╊","╆","╊","╋","╈","╋","╆","╈","╆","╈","╆","╈","╆","╈","╆","╈","╆","╈","╊","╋","╊","╋","╆","╈","╆","╈","╊","╆","╊","╋","╊","╈","╆","╋","╈","╋","╊","╋","╆","╈","┢","┣","╈","┣","┢","┢","┢","╈","╆","╈","┢","┣","┣","╈","╊","╋","┢","┣","┣","╈","╊","╋","╈","╆","╈","╈","╊","╋","╈","╊","╋","╆","┢","┢","┢","╈","┣","┢","┢","╆","┢","╈","┣"
"┣","╊","╋","┣","┣","╊","╋","┣","┣","╊","╋","┣","┣","┣","┣","┣","┣","╊","╋","╊","╋","┣","┣","┣","┣","╊","╋","╊","╋","┣","┣","┣","┣","┣","┣","┣","┣","╊","╋","╊","╊","╊","╋","╋","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╋","╊","╊","╊","╋","╊","╋","╊","╋","╋","╋","╊","╋","╊","╋","┣","┣","╋","┣","┣","┣","┣","╋","╊","╋","┣","┣","┣","╋","╊","╋","┣","┣","┣","╋","╊","╋","╋","╊","╋","╋","╊","╋","╋","╊","╋","╊","┣","┣","┣","╋","┣","┣","┣","╊","┣","╋","┣"
"┤","┼","┿","┤","┨","┼","┿","┤","┨","┼","┿","┤","┨","┼","┾","╁","╆","┤","┥","┧","┪","┼","┾","╀","╄","┤","┥","┦","┩","┼","┾","╀","╁","╂","╄","╆","╊","┤","┥","┦","┧","┨","┩","┪","┫","┼","┽","┾","┿","╁","╅","╆","╈","┼","┽","┾","┿","╀","╃","╄","╇","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","┼","┿","┤","┨","┿","┨","┾","╁","╆","┥","┧","┪","┾","╀","╄","┥","┦","┩","┾","╂","╊","┥","┨","┫","┿","╁","╈","┿","╀","╇","┿","╂","╋","┤","┤","┼","┤","┥","┦","┾","┧","┾","┧","┽","┦"
"┥","┽","┿","┥","┫","┽","┿","┥","┫","┽","┿","┥","┫","┽","┿","╅","╈","┥","┥","┪","┪","┽","┿","╃","╇","┥","┥","┩","┩","┽","┿","╃","╅","╉","╇","╈","╋","┥","┥","┩","┪","┫","┩","┪","┫","┽","┽","┿","┿","╅","╅","╈","╈","┽","┽","┿","┿","╃","╃","╇","╇","┽","┽","┿","┿","╃","╅","╉","╃","╇","╅","╈","╇","╈","╉","╋","╋","┽","┿","┥","┫","┿","┫","┿","╅","╈","┥","┪","┪","┿","╃","╇","┥","┩","┩","┿","╉","╋","┥","┫","┫","┿","╅","╈","┿","╃","╇","┿","╉","╋","┥","┥","┽","┥","┥","┩","┿","┪","┿","┪","┽","┩"
"┦","╀","╇","┦","┨","╀","╇","┦","┨","╀","╇","┦","┨","╀","╄","╂","╊","┦","┩","┨","┫","╀","╄","╀","╄","┦","┩","┦","┩","╀","╄","╀","╂","╂","╄","╊","╊","┦","┩","┦","┨","┨","┩","┫","┫","╀","╃","╄","╇","╂","╉","╊","╋","╀","╃","╄","╇","╀","╃","╄","╇","╀","╃","╄","╇","╀","╂","╂","╃","╄","╉","╊","╇","╋","╉","╊","╋","╀","╇","┦","┨","╇","┨","╄","╂","╊","┩","┨","┫","╄","╀","╄","┩","┦","┩","╄","╂","╊","┩","┨","┫","╇","╂","╋","╇","╀","╇","╇","╂","╋","┦","┦","╀","┦","┩","┦","╄","┨","╄","┨","╃","┦"
"┧","╁","╈","┧","┨","╁","╈","┧","┨","╁","╈","┧","┨","╁","╆","╁","╆","┧","┪","┧","┪","╁","╆","╂","╊","┧","┪","┨","┫","╁","╆","╂","╁","╂","╊","╆","╊","┧","┪","┨","┧","┨","┫","┪","┫","╁","╅","╆","╈","╁","╅","╆","╈","╁","╅","╆","╈","╂","╉","╊","╋","╁","╅","╆","╈","╂","╁","╂","╉","╊","╅","╆","╋","╈","╉","╊","╋","╁","╈","┧","┨","╈","┨","╆","╁","╆","┪","┧","┪","╆","╂","╊","┪","┨","┫","╆","╂","╊","┪","┨","┫","╈","╁","╈","╈","╂","╋","╈","╂","╋","┧","┧","╁","┧","┪","┨","╆","┧","╆","┧","╅","┨"
"┨","╂","╋","┨","┨","╂","╋","┨","┨","╂","╋","┨","┨","╂","╊","╂","╊","┨","┫","┨","┫","╂","╊","╂","╊","┨","┫","┨","┫","╂","╊","╂","╂","╂","╊","╊","╊","┨","┫","┨","┨","┨","┫","┫","┫","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╂","╂","╉","╊","╉","╊","╋","╋","╉","╊","╋","╂","╋","┨","┨","╋","┨","╊","╂","╊","┫","┨","┫","╊","╂","╊","┫","┨","┫","╊","╂","╊","┫","┨","┫","╋","╂","╋","╋","╂","╋","╋","╂","╋","┨","┨","╂","┨","┫","┨","╊","┨","╊","┨","╉","┨"
"┩","╃","╇","┩","┫","╃","╇","┩","┫","╃","╇","┩","┫","╃","╇","╉","╋","┩","┩","┫","┫","╃","╇","╃","╇","┩","┩","┩","┩","╃","╇","╃","╉","╉","╇","╋","╋","┩","┩","┩","┫","┫","┩","┫","┫","╃","╃","╇","╇","╉","╉","╋","╋","╃","╃","╇","╇","╃","╃","╇","╇","╃","╃","╇","╇","╃","╉","╉","╃","╇","╉","╋","╇","╋","╉","╋","╋","╃","╇","┩","┫","╇","┫","╇","╉","╋","┩","┫","┫","╇","╃","╇","┩","┩","┩","╇","╉","╋","┩","┫","┫","╇","╉","╋","╇","╃","╇","╇","╉","╋","┩","┩","╃","┩","┩","┩","╇","┫","╇","┫","╃","┩"
"┪","╅","╈","┪","┫","╅","╈","┪","┫","╅","╈","┪","┫","╅","╈","╅","╈","┪","┪","┪","┪","╅","╈","╉","╋","┪","┪","┫","┫","╅","╈","╉","╅","╉","╋","╈","╋","┪","┪","┫","┪","┫","┫","┪","┫","╅","╅","╈","╈","╅","╅","╈","╈","╅","╅","╈","╈","╉","╉","╋","╋","╅","╅","╈","╈","╉","╅","╉","╉","╋","╅","╈","╋","╈","╉","╋","╋","╅","╈","┪","┫","╈","┫","╈","╅","╈","┪","┪","┪","╈","╉","╋","┪","┫","┫","╈","╉","╋","┪","┫","┫","╈","╅","╈","╈","╉","╋","╈","╉","╋","┪","┪","╅","┪","┪","┫","╈","┪","╈","┪","╅","┫"
"┫","╉","╋","┫","┫","╉","╋","┫","┫","╉","╋","┫","┫","╉","╋","╉","╋","┫","┫","┫","┫","╉","╋","╉","╋","┫","┫","┫","┫","╉","╋","╉","╉","╉","╋","╋","╋","┫","┫","┫","┫","┫","┫","┫","┫","╉","╉","╋","╋","╉","╉","╋","╋","╉","╉","╋","╋","╉","╉","╋","╋","╉","╉","╋","╋","╉","╉","╉","╉","╋","╉","╋","╋","╋","╉","╋","╋","╉","╋","┫","┫","╋","┫","╋","╉","╋","┫","┫","┫","╋","╉","╋","┫","┫","┫","╋","╉","╋","┫","┫","┫","╋","╉","╋","╋","╉","╋","╋","╉","╋","┫","┫","╉","┫","┫","┫","╋","┫","╋","┫","╉","┫"
"┬","┬","┯","┼","╂","┬","┯","┼","╂","┬","┯","┼","╂","┬","┮","┰","┲","┬","┭","┰","┱","┼","┾","╀","╄","┼","┽","╀","╃","┼","┾","╀","╁","╂","╄","╆","╊","┼","┽","╀","╁","╂","╃","╅","╉","┬","┭","┮","┯","┰","┱","┲","┳","┼","┽","┾","┿","╀","╃","╄","╇","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","┬","┯","┼","╂","┯","╂","┮","┰","┲","┭","┰","┱","┾","╀","╄","┽","╀","╃","┾","╂","╊","┽","╂","╉","┯","┰","┳","┿","╀","╇","┿","╂","╋","┬","┼","┬","┬","┭","╀","┮","┰","┮","╁","┭","╀"
"┭","┭","┯","┽","╉","┭","┯","┽","╉","┭","┯","┽","╉","┭","┯","┱","┳","┭","┭","┱","┱","┽","┿","╃","╇","┽","┽","╃","╃","┽","┿","╃","╅","╉","╇","╈","╋","┽","┽","╃","╅","╉","╃","╅","╉","┭","┭","┯","┯","┱","┱","┳","┳","┽","┽","┿","┿","╃","╃","╇","╇","┽","┽","┿","┿","╃","╅","╉","╃","╇","╅","╈","╇","╈","╉","╋","╋","┭","┯","┽","╉","┯","╉","┯","┱","┳","┭","┱","┱","┿","╃","╇","┽","╃","╃","┿","╉","╋","┽","╉","╉","┯","┱","┳","┿","╃","╇","┿","╉","╋","┭","┽","┭","┭","┭","╃","┯","┱","┯","╅","┭","╃"
"┮","┮","┯","┾","╊","┮","┯","┾","╊","┮","┯","┾","╊","┮","┮","┲","┲","┮","┯","┲","┳","┾","┾","╄","╄","┾","┿","╄","╇","┾","┾","╄","╆","╊","╄","╆","╊","┾","┿","╄","╆","╊","╇","╈","╋","┮","┯","┮","┯","┲","┳","┲","┳","┾","┿","┾","┿","╄","╇","╄","╇","┾","┿","┾","┿","╄","╆","╊","╇","╄","╈","╆","╇","╈","╋","╊","╋","┮","┯","┾","╊","┯","╊","┮","┲","┲","┯","┲","┳","┾","╄","╄","┿","╄","╇","┾","╊","╊","┿","╊","╋","┯","┲","┳","┿","╄","╇","┿","╊","╋","┮","┾","┮","┮","┯","╄","┮","┲","┮","╆","┯","╄"
"┯","┯","┯","┿","╋","┯","┯","┿","╋","┯","┯","┿","╋","┯","┯","┳","┳","┯","┯","┳","┳","┿","┿","╇","╇","┿","┿","╇","╇","┿","┿","╇","╈","╋","╇","╈","╋","┿","┿","╇","╈","╋","╇","╈","╋","┯","┯","┯","┯","┳","┳","┳","┳","┿","┿","┿","┿","╇","╇","╇","╇","┿","┿","┿","┿","╇","╈","╋","╇","╇","╈","╈","╇","╈","╋","╋","╋","┯","┯","┿","╋","┯","╋","┯","┳","┳","┯","┳","┳","┿","╇","╇","┿","╇","╇","┿","╋","╋","┿","╋","╋","┯","┳","┳","┿","╇","╇","┿","╋","╋","┯","┿","┯","┯","┯","╇","┯","┳","┯","╈","┯","╇"
"┰","┰","┳","╁","╂","┰","┳","╁","╂","┰","┳","╁","╂","┰","┲","┰","┲","┰","┱","┰","┱","╁","╆","╂","╊","╁","╅","╂","╉","╁","╆","╂","╁","╂","╊","╆","╊","╁","╅","╂","╁","╂","╉","╅","╉","┰","┱","┲","┳","┰","┱","┲","┳","╁","╅","╆","╈","╂","╉","╊","╋","╁","╅","╆","╈","╂","╁","╂","╉","╊","╅","╆","╋","╈","╉","╊","╋","┰","┳","╁","╂","┳","╂","┲","┰","┲","┱","┰","┱","╆","╂","╊","╅","╂","╉","╆","╂","╊","╅","╂","╉","┳","┰","┳","╈","╂","╋","╈","╂","╋","┰","╁","┰","┰","┱","╂","┲","┰","┲","╁","┱","╂"
"┱","┱","┳","╅","╉","┱","┳","╅","╉","┱","┳","╅","╉","┱","┳","┱","┳","┱","┱","┱","┱","╅","╈","╉","╋","╅","╅","╉","╉","╅","╈","╉","╅","╉","╋","╈","╋","╅","╅","╉","╅","╉","╉","╅","╉","┱","┱","┳","┳","┱","┱","┳","┳","╅","╅","╈","╈","╉","╉","╋","╋","╅","╅","╈","╈","╉","╅","╉","╉","╋","╅","╈","╋","╈","╉","╋","╋","┱","┳","╅","╉","┳","╉","┳","┱","┳","┱","┱","┱","╈","╉","╋","╅","╉","╉","╈","╉","╋","╅","╉","╉","┳","┱","┳","╈","╉","╋","╈","╉","╋","┱","╅","┱","┱","┱","╉","┳","┱","┳","╅","┱","╉"
"┲","┲","┳","╆","╊","┲","┳","╆","╊","┲","┳","╆","╊","┲","┲","┲","┲","┲","┳","┲","┳","╆","╆","╊","╊","╆","╈","╊","╋","╆","╆","╊","╆","╊","╊","╆","╊","╆","╈","╊","╆","╊","╋","╈","╋","┲","┳","┲","┳","┲","┳","┲","┳","╆","╈","╆","╈","╊","╋","╊","╋","╆","╈","╆","╈","╊","╆","╊","╋","╊","╈","╆","╋","╈","╋","╊","╋","┲","┳","╆","╊","┳","╊","┲","┲","┲","┳","┲","┳","╆","╊","╊","╈","╊","╋","╆","╊","╊","╈","╊","╋","┳","┲","┳","╈","╊","╋","╈","╊","╋","┲","╆","┲","┲","┳","╊","┲","┲","┲","╆","┳","╊"
"┳","┳","┳","╈","╋","┳","┳","╈","╋","┳","┳","╈","╋","┳","┳","┳","┳","┳","┳","┳","┳","╈","╈","╋","╋","╈","╈","╋","╋","╈","╈","╋","╈","╋","╋","╈","╋","╈","╈","╋","╈","╋","╋","╈","╋","┳","┳","┳","┳","┳","┳","┳","┳","╈","╈","╈","╈","╋","╋","╋","╋","╈","╈","╈","╈","╋","╈","╋","╋","╋","╈","╈","╋","╈","╋","╋","╋","┳","┳","╈","╋","┳","╋","┳","┳","┳","┳","┳","┳","╈","╋","╋","╈","╋","╋","╈","╋","╋","╈","╋","╋","┳","┳","┳","╈","╋","╋","╈","╋","╋","┳","╈","┳","┳","┳","╋","┳","┳","┳","╈","┳","╋"
"┴","┴","┷","┼","╂","┴","┷","┼","╂","┴","┷","┼","╂","┼","┾","╁","╆","┼","┽","╁","╅","┴","┶","┸","┺","┴","┵","┸","┹","┼","┾","╀","╁","╂","╄","╆","╊","┼","┽","╀","╁","╂","╃","╅","╉","┼","┽","┾","┿","╁","╅","╆","╈","┴","┵","┶","┷","┸","┹","┺","┻","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","┴","┷","┼","╂","┷","╂","┾","╁","╆","┽","╁","╅","┶","┸","┺","┵","┸","┹","┾","╂","╊","┽","╂","╉","┿","╁","╈","┷","┸","┻","┿","╂","╋","┴","┴","┴","┼","┵","┸","┶","╁","┶","╁","┵","╀"
"┵","┵","┷","┽","╉","┵","┷","┽","╉","┵","┷","┽","╉","┽","┿","╅","╈","┽","┽","╅","╅","┵","┷","┹","┻","┵","┵","┹","┹","┽","┿","╃","╅","╉","╇","╈","╋","┽","┽","╃","╅","╉","╃","╅","╉","┽","┽","┿","┿","╅","╅","╈","╈","┵","┵","┷","┷","┹","┹","┻","┻","┽","┽","┿","┿","╃","╅","╉","╃","╇","╅","╈","╇","╈","╉","╋","╋","┵","┷","┽","╉","┷","╉","┿","╅","╈","┽","╅","╅","┷","┹","┻","┵","┹","┹","┿","╉","╋","┽","╉","╉","┿","╅","╈","┷","┹","┻","┿","╉","╋","┵","┵","┵","┽","┵","┹","┷","╅","┷","╅","┵","╃"
"┶","┶","┷","┾","╊","┶","┷","┾","╊","┶","┷","┾","╊","┾","┾","╆","╆","┾","┿","╆","╈","┶","┶","┺","┺","┶","┷","┺","┻","┾","┾","╄","╆","╊","╄","╆","╊","┾","┿","╄","╆","╊","╇","╈","╋","┾","┿","┾","┿","╆","╈","╆","╈","┶","┷","┶","┷","┺","┻","┺","┻","┾","┿","┾","┿","╄","╆","╊","╇","╄","╈","╆","╇","╈","╋","╊","╋","┶","┷","┾","╊","┷","╊","┾","╆","╆","┿","╆","╈","┶","┺","┺","┷","┺","┻","┾","╊","╊","┿","╊","╋","┿","╆","╈","┷","┺","┻","┿","╊","╋","┶","┶","┶","┾","┷","┺","┶","╆","┶","╆","┷","╄"
"┷","┷","┷","┿","╋","┷","┷","┿","╋","┷","┷","┿","╋","┿","┿","╈","╈","┿","┿","╈","╈","┷","┷","┻","┻","┷","┷","┻","┻","┿","┿","╇","╈","╋","╇","╈","╋","┿","┿","╇","╈","╋","╇","╈","╋","┿","┿","┿","┿","╈","╈","╈","╈","┷","┷","┷","┷","┻","┻","┻","┻","┿","┿","┿","┿","╇","╈","╋","╇","╇","╈","╈","╇","╈","╋","╋","╋","┷","┷","┿","╋","┷","╋","┿","╈","╈","┿","╈","╈","┷","┻","┻","┷","┻","┻","┿","╋","╋","┿","╋","╋","┿","╈","╈","┷","┻","┻","┿","╋","╋","┷","┷","┷","┿","┷","┻","┷","╈","┷","╈","┷","╇"
"┸","┸","┻","╀","╂","┸","┻","╀","╂","┸","┻","╀","╂","╀","╄","╂","╊","╀","╃","╂","╉","┸","┺","┸","┺","┸","┹","┸","┹","╀","╄","╀","╂","╂","╄","╊","╊","╀","╃","╀","╂","╂","╃","╉","╉","╀","╃","╄","╇","╂","╉","╊","╋","┸","┹","┺","┻","┸","┹","┺","┻","╀","╃","╄","╇","╀","╂","╂","╃","╄","╉","╊","╇","╋","╉","╊","╋","┸","┻","╀","╂","┻","╂","╄","╂","╊","╃","╂","╉","┺","┸","┺","┹","┸","┹","╄","╂","╊","╃","╂","╉","╇","╂","╋","┻","┸","┻","╇","╂","╋","┸","┸","┸","╀","┹","┸","┺","╂","┺","╂","┹","╀"
"┹","┹","┻","╃","╉","┹","┻","╃","╉","┹","┻","╃","╉","╃","╇","╉","╋","╃","╃","╉","╉","┹","┻","┹","┻","┹","┹","┹","┹","╃","╇","╃","╉","╉","╇","╋","╋","╃","╃","╃","╉","╉","╃","╉","╉","╃","╃","╇","╇","╉","╉","╋","╋","┹","┹","┻","┻","┹","┹","┻","┻","╃","╃","╇","╇","╃","╉","╉","╃","╇","╉","╋","╇","╋","╉","╋","╋","┹","┻","╃","╉","┻","╉","╇","╉","╋","╃","╉","╉","┻","┹","┻","┹","┹","┹","╇","╉","╋","╃","╉","╉","╇","╉","╋","┻","┹","┻","╇","╉","╋","┹","┹","┹","╃","┹","┹","┻","╉","┻","╉","┹","╃"
"┺","┺","┻","╄","╊","┺","┻","╄","╊","┺","┻","╄","╊","╄","╄","╊","╊","╄","╇","╊","╋","┺","┺","┺","┺","┺","┻","┺","┻","╄","╄","╄","╊","╊","╄","╊","╊","╄","╇","╄","╊","╊","╇","╋","╋","╄","╇","╄","╇","╊","╋","╊","╋","┺","┻","┺","┻","┺","┻","┺","┻","╄","╇","╄","╇","╄","╊","╊","╇","╄","╋","╊","╇","╋","╋","╊","╋","┺","┻","╄","╊","┻","╊","╄","╊","╊","╇","╊","╋","┺","┺","┺","┻","┺","┻","╄","╊","╊","╇","╊","╋","╇","╊","╋","┻","┺","┻","╇","╊","╋","┺","┺","┺","╄","┻","┺","┺","╊","┺","╊","┻","╄"
"┻","┻","┻","╇","╋","┻","┻","╇","╋","┻","┻","╇","╋","╇","╇","╋","╋","╇","╇","╋","╋","┻","┻","┻","┻","┻","┻","┻","┻","╇","╇","╇","╋","╋","╇","╋","╋","╇","╇","╇","╋","╋","╇","╋","╋","╇","╇","╇","╇","╋","╋","╋","╋","┻","┻","┻","┻","┻","┻","┻","┻","╇","╇","╇","╇","╇","╋","╋","╇","╇","╋","╋","╇","╋","╋","╋","╋","┻","┻","╇","╋","┻","╋","╇","╋","╋","╇","╋","╋","┻","┻","┻","┻","┻","┻","╇","╋","╋","╇","╋","╋","╇","╋","╋","┻","┻","┻","╇","╋","╋","┻","┻","┻","╇","┻","┻","┻","╋","┻","╋","┻","╇"
"┼","┼","┿","┼","╂","┼","┿","┼","╂","┼","┿","┼","╂","┼","┾","╁","╆","┼","┽","╁","╅","┼","┾","╀","╄","┼","┽","╀","╃","┼","┾","╀","╁","╂","╄","╆","╊","┼","┽","╀","╁","╂","╃","╅","╉","┼","┽","┾","┿","╁","╅","╆","╈","┼","┽","┾","┿","╀","╃","╄","╇","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","┼","┿","┼","╂","┿","╂","┾","╁","╆","┽","╁","╅","┾","╀","╄","┽","╀","╃","┾","╂","╊","┽","╂","╉","┿","╁","╈","┿","╀","╇","┿","╂","╋","┼","┼","┼","┼","┽","╀","┾","╁","┾","╁","┽","╀"
"┽","┽","┿","┽","╉","┽","┿","┽","╉","┽","┿","┽","╉","┽","┿","╅","╈","┽","┽","╅","╅","┽","┿","╃","╇","┽","┽","╃","╃","┽","┿","╃","╅","╉","╇","╈","╋","┽","┽","╃","╅","╉","╃","╅","╉","┽","┽","┿","┿","╅","╅","╈","╈","┽","┽","┿","┿","╃","╃","╇","╇","┽","┽","┿","┿","╃","╅","╉","╃","╇","╅","╈","╇","╈","╉","╋","╋","┽","┿","┽","╉","┿","╉","┿","╅","╈","┽","╅","╅","┿","╃","╇","┽","╃","╃","┿","╉","╋","┽","╉","╉","┿","╅","╈","┿","╃","╇","┿","╉","╋","┽","┽","┽","┽","┽","╃","┿","╅","┿","╅","┽","╃"
"┾","┾","┿","┾","╊","┾","┿","┾","╊","┾","┿","┾","╊","┾","┾","╆","╆","┾","┿","╆","╈","┾","┾","╄","╄","┾","┿","╄","╇","┾","┾","╄","╆","╊","╄","╆","╊","┾","┿","╄","╆","╊","╇","╈","╋","┾","┿","┾","┿","╆","╈","╆","╈","┾","┿","┾","┿","╄","╇","╄","╇","┾","┿","┾","┿","╄","╆","╊","╇","╄","╈","╆","╇","╈","╋","╊","╋","┾","┿","┾","╊","┿","╊","┾","╆","╆","┿","╆","╈","┾","╄","╄","┿","╄","╇","┾","╊","╊","┿","╊","╋","┿","╆","╈","┿","╄","╇","┿","╊","╋","┾","┾","┾","┾","┿","╄","┾","╆","┾","╆","┿","╄"
"┿","┿","┿","┿","╋","┿","┿","┿","╋","┿","┿","┿","╋","┿","┿","╈","╈","┿","┿","╈","╈","┿","┿","╇","╇","┿","┿","╇","╇","┿","┿","╇","╈","╋","╇","╈","╋","┿","┿","╇","╈","╋","╇","╈","╋","┿","┿","┿","┿","╈","╈","╈","╈","┿","┿","┿","┿","╇","╇","╇","╇","┿","┿","┿","┿","╇","╈","╋","╇","╇","╈","╈","╇","╈","╋","╋","╋","┿","┿","┿","╋","┿","╋","┿","╈","╈","┿","╈","╈","┿","╇","╇","┿","╇","╇","┿","╋","╋","┿","╋","╋","┿","╈","╈","┿","╇","╇","┿","╋","╋","┿","┿","┿","┿","┿","╇","┿","╈","┿","╈","┿","╇"
"╀","╀","╇","╀","╂","╀","╇","╀","╂","╀","╇","╀","╂","╀","╄","╂","╊","╀","╃","╂","╉","╀","╄","╀","╄","╀","╃","╀","╃","╀","╄","╀","╂","╂","╄","╊","╊","╀","╃","╀","╂","╂","╃","╉","╉","╀","╃","╄","╇","╂","╉","╊","╋","╀","╃","╄","╇","╀","╃","╄","╇","╀","╃","╄","╇","╀","╂","╂","╃","╄","╉","╊","╇","╋","╉","╊","╋","╀","╇","╀","╂","╇","╂","╄","╂","╊","╃","╂","╉","╄","╀","╄","╃","╀","╃","╄","╂","╊","╃","╂","╉","╇","╂","╋","╇","╀","╇","╇","╂","╋","╀","╀","╀","╀","╃","╀","╄","╂","╄","╂","╃","╀"
"╁","╁","╈","╁","╂","╁","╈","╁","╂","╁","╈","╁","╂","╁","╆","╁","╆","╁","╅","╁","╅","╁","╆","╂","╊","╁","╅","╂","╉","╁","╆","╂","╁","╂","╊","╆","╊","╁","╅","╂","╁","╂","╉","╅","╉","╁","╅","╆","╈","╁","╅","╆","╈","╁","╅","╆","╈","╂","╉","╊","╋","╁","╅","╆","╈","╂","╁","╂","╉","╊","╅","╆","╋","╈","╉","╊","╋","╁","╈","╁","╂","╈","╂","╆","╁","╆","╅","╁","╅","╆","╂","╊","╅","╂","╉","╆","╂","╊","╅","╂","╉","╈","╁","╈","╈","╂","╋","╈","╂","╋","╁","╁","╁","╁","╅","╂","╆","╁","╆","╁","╅","╂"
"╂","╂","╋","╂","╂","╂","╋","╂","╂","╂","╋","╂","╂","╂","╊","╂","╊","╂","╉","╂","╉","╂","╊","╂","╊","╂","╉","╂","╉","╂","╊","╂","╂","╂","╊","╊","╊","╂","╉","╂","╂","╂","╉","╉","╉","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╂","╂","╉","╊","╉","╊","╋","╋","╉","╊","╋","╂","╋","╂","╂","╋","╂","╊","╂","╊","╉","╂","╉","╊","╂","╊","╉","╂","╉","╊","╂","╊","╉","╂","╉","╋","╂","╋","╋","╂","╋","╋","╂","╋","╂","╂","╂","╂","╉","╂","╊","╂","╊","╂","╉","╂"
