"┉","━","━","┿","╋","━","━","┿","╋","┉","┉","┿","╋","┯","┯","┳","┳","┯","┯","┳","┳","┷","┷","┻","┻","┷","┷","┻","┻","┿","┿","╇","╈","╋","╇","╈","╋","┿","┿","╇","╈","╋","╇","╈","╋","┯","┯","┯","┯","┳","┳","┳","┳","┷","┷","┷","┷","┻","┻","┻","┻","┿","┿","┿","┿","╇","╈","╋","╇","╇","╈","╈","╇","╈","╋","╋","╋","━","━","┿","╋","━","╋","┯","┳","┳","┯","┳","┳","┷","┻","┻","┷","┻","┻","┿","╋","╋","┿","╋","╋","┯","┳","┳","┷","┻","┻","┿","╋","╋","━","┷","━","┯","━","┻","━","┳","━","╈","━","╇"
"┊","┼","┿","│","┃","┼","┿","│","┃","┼","┿","┊","┋","├","┝","┟","┢","┤","┥","┧","┪","├","┝","┞","┡","┤","┥","┦","┩","├","┝","┞","┟","┠","┡","┢","┣","┤","┥","┦","┧","┨","┩","┪","┫","┼","┽","┾","┿","╁","╅","╆","╈","┼","┽","┾","┿","╀","╃","╄","╇","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","┼","┿","│","┃","╪","┃","╞","┟","┢","╡","┧","┪","╞","┞","┡","╡","┦","┩","╞","┠","┣","╡","┨","┫","╪","╁","╈","╪","╀","╇","╪","╂","╋","┤","│","├","│","┥","╿","┝","╽","┾","╽","┽","╿"
"┋","╂","╋","┃","┃","╂","╋","┃","┃","╂","╋","┋","┋","┠","┣","┠","┣","┨","┫","┨","┫","┠","┣","┠","┣","┨","┫","┨","┫","┠","┣","┠","┠","┠","┣","┣","┣","┨","┫","┨","┨","┨","┫","┫","┫","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╉","╊","╋","╂","╂","╂","╉","╊","╉","╊","╋","╋","╉","╊","╋","╂","╋","┃","┃","╋","┃","┣","┠","┣","┫","┨","┫","┣","┠","┣","┫","┨","┫","┣","┠","┣","┫","┨","┫","╋","╂","╋","╋","╂","╋","╋","╂","╋","┨","┃","┠","┃","┫","┃","┣","┃","╊","┃","╉","┃"
"┌","┬","┯","├","┠","┬","┯","├","┠","┬","┯","├","┠","┌","┍","┎","┏","┬","┭","┰","┱","├","┝","┞","┡","┼","┽","╀","╃","├","┝","┞","┟","┠","┡","┢","┣","┼","┽","╀","╁","╂","╃","╅","╉","┬","┭","┮","┯","┰","┱","┲","┳","┼","┽","┾","┿","╀","╃","╄","╇","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","┬","┯","├","┠","┯","┠","┍","┎","┏","┭","┰","┱","┝","┞","┡","┽","╀","╃","┝","┠","┣","┽","╂","╉","┯","┰","┳","┿","╀","╇","┿","╂","╋","┬","├","┌","┌","┭","┞","┍","┎","┮","┟","┭","┞"
"┍","┮","┯","┝","┣","┮","┯","┝","┣","┮","┯","┝","┣","┍","┍","┏","┏","┮","┯","┲","┳","┝","┝","┡","┡","┾","┿","╄","╇","┝","┝","┡","┢","┣","┡","┢","┣","┾","┿","╄","╆","╊","╇","╈","╋","┮","┯","┮","┯","┲","┳","┲","┳","┾","┿","┾","┿","╄","╇","╄","╇","┾","┿","┾","┿","╄","╆","╊","╇","╄","╈","╆","╇","╈","╋","╊","╋","┮","┯","┝","┣","┯","┣","┍","┏","┏","┯","┲","┳","┝","┡","┡","┿","╄","╇","┝","┣","┣","┿","╊","╋","┯","┲","┳","┿","╄","╇","┿","╊","╋","┮","┝","┍","┍","┯","┡","┍","┏","┮","┢","┯","┡"
"┎","┰","┳","┟","┠","┰","┳","┟","┠","┰","┳","┟","┠","┎","┏","┎","┏","┰","┱","┰","┱","┟","┢","┠","┣","╁","╅","╂","╉","┟","┢","┠","┟","┠","┣","┢","┣","╁","╅","╂","╁","╂","╉","╅","╉","┰","┱","┲","┳","┰","┱","┲","┳","╁","╅","╆","╈","╂","╉","╊","╋","╁","╅","╆","╈","╂","╁","╂","╉","╊","╅","╆","╋","╈","╉","╊","╋","┰","┳","┟","┠","┳","┠","┏","┎","┏","┱","┰","┱","┢","┠","┣","╅","╂","╉","┢","┠","┣","╅","╂","╉","┳","┰","┳","╈","╂","╋","╈","╂","╋","┰","┟","┎","┎","┱","┠","┏","┎","┲","┟","┱","┠"
"┏","┲","┳","┢","┣","┲","┳","┢","┣","┲","┳","┢","┣","┏","┏","┏","┏","┲","┳","┲","┳","┢","┢","┣","┣","╆","╈","╊","╋","┢","┢","┣","┢","┣","┣","┢","┣","╆","╈","╊","╆","╊","╋","╈","╋","┲","┳","┲","┳","┲","┳","┲","┳","╆","╈","╆","╈","╊","╋","╊","╋","╆","╈","╆","╈","╊","╆","╊","╋","╊","╈","╆","╋","╈","╋","╊","╋","┲","┳","┢","┣","┳","┣","┏","┏","┏","┳","┲","┳","┢","┣","┣","╈","╊","╋","┢","┣","┣","╈","╊","╋","┳","┲","┳","╈","╊","╋","╈","╊","╋","┲","┢","┏","┏","┳","┣","┏","┏","┲","┢","┳","┣"
"┐","┬","┯","┤","┨","┬","┯","┤","┨","┬","┯","┤","┨","┬","┮","┰","┲","┐","┑","┒","┓","┼","┾","╀","╄","┤","┥","┦","┩","┼","┾","╀","╁","╂","╄","╆","╊","┤","┥","┦","┧","┨","┩","┪","┫","┬","┭","┮","┯","┰","┱","┲","┳","┼","┽","┾","┿","╀","╃","╄","╇","┼","┽","┾","┿","╀","╁","╂","╃","╄","╅","╆","╇","╈","╉","╊","╋","┬","┯","┤","┨","┯","┨","┮","┰","┲","┑","┒","┓","┾","╀","╄","┥","┦","┩","┾","╂","╊","┥","┨","┫","┯","┰","┳","┿","╀","╇","┿","╂","╋","┐","┤","┬","┐","┑","┦","┮","┒","┮","┧","┭","┦"
"┑","┭","┯","┥","┫","┭","┯","┥","┫","┭","┯","┥","┫","┭","┯","┱","┳","┑","┑","┓","┓","┽","┿","╃","╇","┥","┥","┩","┩","┽","┿","╃","╅","╉","╇","╈","╋","┥","┥","┩","┪","┫","┩","┪","┫","┭","┭","┯","┯","┱","┱","┳","┳","┽","┽","┿","┿","╃","╃","╇","╇","┽","┽","┿","┿","╃","╅","╉","╃","╇","╅","╈","╇","╈","╉","╋","╋","┭","┯","┥","┫","┯","┫","┯","┱","┳","┑","┓","┓","┿","╃","╇","┥","┩","┩","┿","╉","╋","┥","┫","┫","┯","┱","┳","┿","╃","╇","┿","╉","╋","┑","┥","┭","┑","┑","┩","┯","┓","┯","┪","┭","┩"
"┒","┰","┳","┧","┨","┰","┳","┧","┨","┰","┳","┧","┨","┰","┲","┰","┲","┒","┓","┒","┓","╁","╆","╂","╊","┧","┪","┨","┫","╁","╆","╂","╁","╂","╊","╆","╊","┧","┪","┨","┧","┨","┫","┪","┫","┰","┱","┲","┳","┰","┱","┲","┳","╁","╅","╆","╈","╂","╉","╊","╋","╁","╅","╆","╈","╂","╁","╂","╉","╊","╅","╆","╋","╈","╉","╊","╋","┰","┳","┧","┨","┳","┨","┲","┰","┲","┓","┒","┓","╆","╂","╊","┪","┨","┫","╆","╂","╊","┪","┨","┫","┳","┰","┳","╈","╂","╋","╈","╂","╋","┒","┧","┰","┒","┓","┨","┲","┒","┲","┧","┱","┨"
